county,div_num
1,1
3,2
5,3
7,4
9,5
11,6
13,7
15,8
17,9
19,10
21,11
23,12
25,13
27,14
29,15
31,16
33,17
35,18
36,19
37,20
41,21
43,22
45,23
47,24
49,25
51,26
53,27
57,28
59,29
61,30
63,31
65,32
67,33
69,34
71,35
73,36
75,37
77,38
79,39
81,40
83,41
85,42
87,43
89,44
91,45
93,46
95,202
97,49
99,48
101,50
103,51
105,52
107,53
109,54
111,55
113,56
115,57
117,58
119,59
121,60
125,62
127,63
131,65
133,66
135,67
137,68
139,69
141,70
143,71
145,72
147,73
149,74
153,75
155,77
157,78
159,79
161,80
163,81
165,82
167,83
169,84
171,85
173,86
175,87
177,88
179,89
181,90
183,91
185,92
187,93
191,94
193,95
195,96
197,97
199,98
510,101
515,140
520,102
530,103
540,104
550,136
570,106
580,107
590,108
600,207
610,109
620,135
630,110
640,111
650,112
660,113
670,114
678,137
680,115
683,143
685,144
690,116
700,117
710,118
720,119
730,120
735,142
740,121
750,122
760,123
770,124
775,139
790,126
800,127
810,128
820,130
830,131
840,132
